2022-05-06 16:54:26,295|Optimum x1: -0.030000
2022-05-06 16:54:26,295|Optimum x2: 0.000000
2022-05-06 16:54:26,295|Time : 0.085398s

2022-05-06 16:54:26,872|Random Search
2022-05-06 16:54:26,872|Minimum f: 1.3550
2022-05-06 16:54:26,872|Optimum x1: -0.040000
2022-05-06 16:54:26,872|Optimum x2: -0.980000
2022-05-06 16:54:26,872|Time : 0.084990s

2022-05-06 16:54:27,393|Random Search
2022-05-06 16:54:27,393|Minimum f: 0.6315
2022-05-06 16:54:27,393|Optimum x1: 0.040000
2022-05-06 16:54:27,393|Optimum x2: -0.040000
2022-05-06 16:54:27,393|Time : 0.083225s

2022-05-06 17:17:19,380|Greedy
2022-05-06 17:17:19,381|Minimum f: 12.9391
2022-05-06 17:17:19,381|Optimum x1: -1.990000
2022-05-06 17:17:19,381|Optimum x2: -2.980000
2022-05-06 17:17:19,381|Time : 0.000962s

2022-05-06 17:17:22,360|Greedy
2022-05-06 17:17:22,360|Minimum f: 24.8785
2022-05-06 17:17:22,360|Optimum x1: -2.980000
2022-05-06 17:17:22,360|Optimum x2: 3.980000
2022-05-06 17:17:22,360|Time : 0.000581s

2022-05-06 17:17:23,437|Greedy
2022-05-06 17:17:23,437|Minimum f: 24.8785
2022-05-06 17:17:23,437|Optimum x1: 2.980000
2022-05-06 17:17:23,437|Optimum x2: 3.980000
2022-05-06 17:17:23,437|Time : 0.000859s

2022-05-06 17:17:24,299|Greedy
2022-05-06 17:17:24,299|Minimum f: 16.9191
2022-05-06 17:17:24,299|Optimum x1: 3.980000
2022-05-06 17:17:24,299|Optimum x2: 0.990000
2022-05-06 17:17:24,299|Time : 0.000994s

2022-05-06 17:18:19,083|Greedy
2022-05-06 17:18:19,083|Minimum f: 28.8579
2022-05-06 17:18:19,083|Optimum x1: -4.970000
2022-05-06 17:18:19,083|Optimum x2: -1.990000
2022-05-06 17:18:19,084|Time : 0.000444s

2022-05-06 17:18:19,599|Greedy
2022-05-06 17:18:19,599|Minimum f: 8.9593
2022-05-06 17:18:19,599|Optimum x1: -2.980000
2022-05-06 17:18:19,599|Optimum x2: -0.000000
2022-05-06 17:18:19,599|Time : 0.001379s

2022-05-06 17:18:20,126|Greedy
2022-05-06 17:18:20,126|Minimum f: 0.0000
2022-05-06 17:18:20,126|Optimum x1: -0.000000
2022-05-06 17:18:20,126|Optimum x2: -0.000000
2022-05-06 17:18:20,126|Time : 0.000826s

2022-05-06 17:18:20,631|Greedy
2022-05-06 17:18:20,631|Minimum f: 19.8991
2022-05-06 17:18:20,631|Optimum x1: 1.990000
2022-05-06 17:18:20,631|Optimum x2: -3.980000
2022-05-06 17:18:20,631|Time : 0.001075s

2022-05-06 18:03:43,044|Simulated_Annealing
2022-05-06 18:03:43,045|Minimum f: 0.2660
2022-05-06 18:03:43,045|Optimum x1: 0.019934
2022-05-06 18:03:43,045|Optimum x2: -0.030775
2022-05-06 18:03:43,045|Time : 0.375656s

2022-05-06 18:03:44,922|Simulated_Annealing
2022-05-06 18:03:44,923|Minimum f: 0.0756
2022-05-06 18:03:44,923|Optimum x1: 0.006318
2022-05-06 18:03:44,923|Optimum x2: 0.018480
2022-05-06 18:03:44,923|Time : 0.375557s

2022-05-06 18:03:45,917|Simulated_Annealing
2022-05-06 18:03:45,917|Minimum f: 1.2225
2022-05-06 18:03:45,917|Optimum x1: -1.007629
2022-05-06 18:03:45,917|Optimum x2: 0.031461
2022-05-06 18:03:45,917|Time : 0.374722s

2022-05-06 18:03:47,000|Simulated_Annealing
2022-05-06 18:03:47,001|Minimum f: 1.0473
2022-05-06 18:03:47,001|Optimum x1: 0.016254
2022-05-06 18:03:47,001|Optimum x2: 0.994909
2022-05-06 18:03:47,001|Time : 0.375035s

2022-05-06 18:05:46,017|Simulated_Annealing
2022-05-06 18:05:46,017|Minimum f: 1.2860
2022-05-06 18:05:46,018|Optimum x1: 0.038178
2022-05-06 18:05:46,018|Optimum x2: -0.999015
2022-05-06 18:05:46,018|Time : 0.375985s

2022-05-06 18:05:46,660|Simulated_Annealing
