2022-05-06 16:43:43,970|Minimum f: 3.0254
2022-05-06 16:43:43,970|Optimum x1: 0.010000
2022-05-06 16:43:43,970|Optimum x2: -1.000000
2022-05-06 16:43:43,971|Time : 0.072248s

2022-05-06 16:43:45,065|Random Search
2022-05-06 16:43:45,066|Minimum f: 3.0000
2022-05-06 16:43:45,066|Optimum x1: -0.000000
2022-05-06 16:43:45,066|Optimum x2: -1.000000
2022-05-06 16:43:45,066|Time : 0.074495s

2022-05-06 16:44:37,488|Random Search
2022-05-06 16:44:37,488|Minimum f: 3.0427
2022-05-06 16:44:37,489|Optimum x1: -0.000000
2022-05-06 16:44:37,489|Optimum x2: -0.990000
2022-05-06 16:44:37,489|Time : 0.074478s

2022-05-06 16:44:38,411|Random Search
2022-05-06 16:44:38,412|Minimum f: 3.0925
2022-05-06 16:44:38,412|Optimum x1: 0.010000
2022-05-06 16:44:38,412|Optimum x2: -1.010000
2022-05-06 16:44:38,412|Time : 0.074040s

2022-05-06 17:09:51,293|Greedy
2022-05-06 17:09:51,294|Minimum f: 30.1963
2022-05-06 17:09:51,294|Optimum x1: -0.620000
2022-05-06 17:09:51,294|Optimum x2: -0.380000
2022-05-06 17:09:51,294|Time : 0.001619s

2022-05-06 17:09:52,761|Greedy
2022-05-06 17:09:52,761|Minimum f: 30.0000
2022-05-06 17:09:52,761|Optimum x1: -0.600000
2022-05-06 17:09:52,761|Optimum x2: -0.400000
2022-05-06 17:09:52,761|Time : 0.001812s

2022-05-06 17:09:54,511|Greedy
2022-05-06 17:09:54,511|Minimum f: 30.1963
2022-05-06 17:09:54,511|Optimum x1: -0.620000
2022-05-06 17:09:54,511|Optimum x2: -0.380000
2022-05-06 17:09:54,511|Time : 0.003573s

2022-05-06 17:11:21,684|Greedy
2022-05-06 17:11:21,684|Minimum f: 94.7619
2022-05-06 17:11:21,684|Optimum x1: 1.430000
2022-05-06 17:11:21,684|Optimum x2: -0.050000
2022-05-06 17:11:21,684|Time : 0.000754s

2022-05-06 17:11:43,799|Greedy
2022-05-06 17:11:43,799|Minimum f: 30.0000
2022-05-06 17:11:43,799|Optimum x1: -0.600000
2022-05-06 17:11:43,799|Optimum x2: -0.400000
2022-05-06 17:11:43,799|Time : 0.001773s

2022-05-06 17:12:01,002|Greedy
2022-05-06 17:12:01,003|Minimum f: 840.0000
2022-05-06 17:12:01,003|Optimum x1: 1.200000
2022-05-06 17:12:01,003|Optimum x2: 0.800000
2022-05-06 17:12:01,003|Time : 0.000949s

2022-05-06 17:12:02,621|Greedy
2022-05-06 17:12:02,621|Minimum f: 95.5089
2022-05-06 17:12:02,621|Optimum x1: 1.020000
2022-05-06 17:12:02,621|Optimum x2: -0.320000
2022-05-06 17:12:02,621|Time : 0.000283s

2022-05-06 17:12:03,557|Greedy
2022-05-06 17:12:03,558|Minimum f: 840.0000
2022-05-06 17:12:03,558|Optimum x1: 1.200000
2022-05-06 17:12:03,558|Optimum x2: 0.800000
2022-05-06 17:12:03,558|Time : 0.001160s

2022-05-06 17:57:46,960|Simulated_Annealing
2022-05-06 17:57:46,961|Minimum f: 3.0016
2022-05-06 17:57:46,961|Optimum x1: -0.000454
2022-05-06 17:57:46,961|Optimum x2: -0.998230
2022-05-06 17:57:46,961|Time : 0.062122s

2022-05-06 17:57:48,155|Simulated_Annealing
2022-05-06 17:57:48,155|Minimum f: 3.0501
2022-05-06 17:57:48,156|Optimum x1: -0.009138
2022-05-06 17:57:48,156|Optimum x2: -0.993637
2022-05-06 17:57:48,156|Time : 0.057004s

2022-05-06 17:57:49,118|Simulated_Annealing
2022-05-06 17:57:49,118|Minimum f: 3.0113
2022-05-06 17:57:49,118|Optimum x1: 0.006460
2022-05-06 17:57:49,118|Optimum x2: -0.996271
2022-05-06 17:57:49,118|Time : 0.059840s

2022-05-06 17:57:50,143|Simulated_Annealing
2022-05-06 17:57:50,143|Minimum f: 3.0022
2022-05-06 17:57:50,144|Optimum x1: 0.002140
2022-05-06 17:57:50,144|Optimum x2: -0.997840
2022-05-06 17:57:50,144|Time : 0.058630s

2022-05-06 17:59:36,338|Simulated_Annealing
2022-05-06 17:59:36,339|Minimum f: 3.0049
2022-05-06 17:59:36,339|Optimum x1: 0.002215
2022-05-06 17:59:36,339|Optimum x2: -0.996479
2022-05-06 17:59:36,339|Time : 0.060069s

2022-05-06 17:59:36,849|Simulated_Annealing
2022-05-06 17:59:36,849|Minimum f: 3.0004
2022-05-06 17:59:36,849|Optimum x1: 0.000653
2022-05-06 17:59:36,849|Optimum x2: -1.000639
2022-05-06 17:59:36,849|Time : 0.061014s

2022-05-06 17:59:37,335|Simulated_Annealing
2022-05-06 17:59:37,335|Minimum f: 3.0036
2022-05-06 17:59:37,335|Optimum x1: 0.003993
2022-05-06 17:59:37,335|Optimum x2: -0.999338
2022-05-06 17:59:37,336|Time : 0.066647s

2022-05-06 17:59:37,905|Simulated_Annealing
2022-05-06 17:59:37,906|Minimum f: 3.0316
2022-05-06 17:59:37,906|Optimum x1: -0.011461
2022-05-06 17:59:37,906|Optimum x2: -1.000674
2022-05-06 17:59:37,906|Time : 0.061491s

2022-05-06 19:44:22,655|Genetic_Algorithm
2022-05-06 19:44:22,671|Minimum f: 3.0088
2022-05-06 19:44:22,671|Optimum x1: 0.001955
2022-05-06 19:44:22,671|Optimum x2: -0.995213
2022-05-06 19:44:22,671|Time : 0.693728s

2022-05-06 19:44:25,794|Genetic_Algorithm
2022-05-06 19:44:25,794|Minimum f: 3.0009
2022-05-06 19:44:25,794|Optimum x1: 0.001955
2022-05-06 19:44:25,794|Optimum x2: -0.999740
2022-05-06 19:44:25,794|Time : 0.699202s

2022-05-06 19:44:27,826|Genetic_Algorithm
2022-05-06 19:44:27,842|Minimum f: 30.2844
2022-05-06 19:44:27,842|Optimum x1: -0.584555
2022-05-06 19:44:27,842|Optimum x2: -0.399598
2022-05-06 19:44:27,842|Time : 0.697807s

2022-05-06 19:44:29,289|Genetic_Algorithm
2022-05-06 19:44:29,289|Minimum f: 3.0041
2022-05-06 19:44:29,289|Optimum x1: 0.001955
2022-05-06 19:44:29,289|Optimum x2: -0.996766
2022-05-06 19:44:29,289|Time : 0.722031s

2022-05-06 19:45:52,715|Genetic_Algorithm
2022-05-06 19:45:52,715|Minimum f: 3.0457
2022-05-06 19:45:52,715|Optimum x1: -0.013685
2022-05-06 19:45:52,715|Optimum x2: -1.000548
2022-05-06 19:45:52,715|Time : 0.688009s

2022-05-06 19:45:54,331|Genetic_Algorithm
2022-05-06 19:45:54,331|Minimum f: 3.0221
2022-05-06 19:45:54,331|Optimum x1: 0.009775
2022-05-06 19:45:54,331|Optimum x2: -0.998678
2022-05-06 19:45:54,331|Time : 0.708471s

2022-05-06 19:45:55,918|Genetic_Algorithm
2022-05-06 19:45:55,918|Minimum f: 3.0717
2022-05-06 19:45:55,918|Optimum x1: -0.013685
2022-05-06 19:45:55,918|Optimum x2: -0.994963
2022-05-06 19:45:55,918|Time : 0.698466s

2022-05-06 19:45:57,558|Genetic_Algorithm
2022-05-06 19:45:57,558|Minimum f: 3.1293
2022-05-06 19:45:57,558|Optimum x1: -0.013685
2022-05-06 19:45:57,558|Optimum x2: -1.017390
2022-05-06 19:45:57,558|Time : 0.724919s

2022-05-06 19:46:55,591|Genetic_Algorithm
2022-05-06 19:46:55,591|Minimum f: 3.0502
2022-05-06 19:46:55,591|Optimum x1: 0.013685
2022-05-06 19:46:55,591|Optimum x2: -1.000730
2022-05-06 19:46:55,591|Time : 0.693394s

2022-05-06 19:46:57,041|Genetic_Algorithm
2022-05-06 19:46:57,041|Minimum f: 3.0584
2022-05-06 19:46:57,041|Optimum x1: -0.013685
2022-05-06 19:46:57,041|Optimum x2: -0.997155
2022-05-06 19:46:57,041|Time : 0.702063s

2022-05-06 19:46:58,025|Genetic_Algorithm
2022-05-06 19:46:58,025|Minimum f: 3.0078
2022-05-06 19:46:58,025|Optimum x1: 0.005865
2022-05-06 19:46:58,025|Optimum x2: -0.998768
2022-05-06 19:46:58,025|Time : 0.710753s

2022-05-06 19:47:13,233|Genetic_Algorithm
2022-05-06 19:47:13,233|Minimum f: 3.7425
2022-05-06 19:47:13,233|Optimum x1: 0.056696
2022-05-06 19:47:13,233|Optimum x2: -0.985971
2022-05-06 19:47:13,233|Time : 0.700993s

2022-05-06 19:47:14,899|Genetic_Algorithm
2022-05-06 19:47:14,899|Minimum f: 3.2721
2022-05-06 19:47:14,899|Optimum x1: 0.033236
2022-05-06 19:47:14,899|Optimum x2: -0.983358
2022-05-06 19:47:14,899|Time : 0.699582s

2022-05-06 19:47:15,873|Genetic_Algorithm
2022-05-06 19:47:15,873|Minimum f: 3.0858
2022-05-06 19:47:15,873|Optimum x1: -0.005865
2022-05-06 19:47:15,873|Optimum x2: -0.987840
2022-05-06 19:47:15,873|Time : 0.698385s

2022-05-06 19:47:16,889|Genetic_Algorithm
2022-05-06 19:47:16,889|Minimum f: 30.7546
2022-05-06 19:47:16,889|Optimum x1: -0.553275
2022-05-06 19:47:16,889|Optimum x2: -0.444583
2022-05-06 19:47:16,903|Time : 0.732359s

